"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"101",241,2.78e-06,"Soil",2.49658,"Total Triadimefon",8,0,5.80984816,"PLE","Gray treefrog",0.45289549,60.492267017974,133.567828237755,10.2494073284609,22.6308443222981,4.27813954597986
"102",242,2.78e-06,"Soil",2.51534,"Total Triadimefon",8,0,5.80984816,"PLE","Gray treefrog",0.841704915,60.292886608706,71.6318575954924,10.2238883961284,12.1466421472999,4.26467742249029
"103",243,2.78e-06,"Soil",1.1547,"Total Triadimefon",8,0,5.80984816,"PLE","Gray treefrog",0.590151651,84.9924440792835,144.017972219963,13.2498990075932,22.4516850628843,5.9188574113983
"104",244,2.78e-06,"Soil",1.20172,"Total Triadimefon",8,0,5.80984816,"PLE","Gray treefrog",0.691676628,83.5095166100086,120.734911705024,13.0749580752335,18.903281600016,5.82023086627033
"105",245,2.78e-06,"Soil",2.91091,"Total Triadimefon",8,0,5.80984816,"PLE","Gray treefrog",0.446716578,56.5317629475463,126.549507521403,9.73852575518078,21.8002336040029,4.01034080256462
"106",281,2e-05,"Overspray",1.96213,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",0.673117238,483.973374618799,719.003090838686,79.8953769172821,118.694593462903,34.0631025267473
"107",282,2e-05,"Overspray",2.02547,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",7.113543563,477.239668763058,67.0888797596386,79.0545559508183,11.1132454944127,33.6105197266531
"108",283,2e-05,"Overspray",1.56058,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",3.039240379,535.396191839893,176.161186702861,86.2255056251107,28.3707423147232,37.5101822935115
"109",284,2e-05,"Overspray",0.82568,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",1.070092765,708.925228195422,662.489506875062,106.586372576486,99.6047969509318,49.0393655880395
"110",285,2e-05,"Overspray",1.17217,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",1.924313318,607.420667267814,315.655803857932,94.8475527031018,49.289038232963,42.3133638809089
