app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
1.12E-06,soil,1.6105,fipronil,8,0,LFF2,3.156807044,PLE,rvm2015,Leopard frog,0.608410201
1.12E-06,soil,1.29821,fipronil,8,0,LFF3,3.156807044,PLE,rvm2015,Leopard frog,0.37917811
1.12E-06,soil,1.4102,fipronil,8,0,LFF4,3.156807044,PLE,rvm2015,Leopard frog,0.496870531
2.81E-06,soil,2.11943,triadimefon,8,0,LFT1,6.669240533,PLE,rvm2015,Leopard frog,0.1766496
2.81E-06,soil,3.13315,triadimefon,8,0,LFT2,6.669240533,PLE,rvm2015,Leopard frog,0.179231247
2.81E-06,soil,3.32121,triadimefon,8,0,LFT3,6.669240533,PLE,rvm2015,Leopard frog,0.052193986
2.81E-06,soil,1.44049,triadimefon,8,0,LFT4,6.669240533,PLE,rvm2015,Leopard frog,0.070844227
2.02E-05,soil,2.58239,pendimethalin,8,0,SP1,32.37428285,PLE,rvm2015,Mole salamander,4.801958486
2.02E-05,soil,1.87511,pendimethalin,8,0,SP2,32.37428285,PLE,rvm2015,Mole salamander,1.295372009
2.02E-05,soil,2.07789,pendimethalin,8,0,SP3,32.37428285,PLE,rvm2015,Mole salamander,2.957076964
2.02E-05,soil,3.99315,pendimethalin,8,0,SP4,32.37428285,PLE,rvm2015,Mole salamander,1.851006799
2.02E-05,soil,2.0028,pendimethalin,8,0,SP5,32.37428285,PLE,rvm2015,Mole salamander,3.236333259
2.30E-05,soil,2.93262,atrazine,8,0,SA1,52.67554477,PLE,rvm2015,Mole salamander,6.823400408
2.30E-05,soil,3.53977,atrazine,8,0,SA2,52.67554477,PLE,rvm2015,Mole salamander,5.611314977
2.30E-05,soil,1.14,atrazine,8,0,SA3,52.67554477,PLE,rvm2015,Mole salamander,5.443528911
2.32E-05,soil,2.9446,atrazine,8,0,SA4,81.7111506,PLE,rvm2015,Mole salamander,2.748808693
2.32E-05,soil,2.59184,atrazine,8,0,SA5,81.7111506,PLE,rvm2015,Mole salamander,2.620759616
1.05E-06,soil,2.0321,fipronil,8,0,SF1,4.53176306,PLE,rvm2015,Mole salamander,0.49304269
1.05E-06,soil,1.57444,fipronil,8,0,SF2,4.53176306,PLE,rvm2015,Mole salamander,1.117034512
1.05E-06,soil,2.34673,fipronil,8,0,SF3,4.53176306,PLE,rvm2015,Mole salamander,1.105844253
